check_id,result,evidence,owner,notes
EVD-001,PASS,junit:caos.tests.test_source_ingestion::test_ingestion_rolls_back_atomically_when_persistence_fails; junit:caos.tests.test_store::test_governed_writes_commit_state_and_audit_together; junit:caos.tests.test_postgres_races::test_duplicate_upload_race_admits_one_active_source_and_one_set_version; junit:caos.tests.test_postgres_races::test_concurrent_distinct_uploads_allocate_monotonic_source_set_versions; junit:caos.tests.spec.test_simulations_spec::test_sim_010_database_unavailable_before_a_write_is_typed_and_leaves_no_partial_file,retained suite - no action,"An injected failure after the source insert leaves no source row, no source-set version and no audit row, and the retry mints version 1; two PostgreSQL connections admit one active source and one set version; a store outage before the write leaves no vault object, row or set."
EVD-002,PASS,junit:caos.tests.spec.test_runs_spec::test_gate_exit_pins_exact_current_source_set_and_later_uploads_do_not_move_it; junit:caos.tests.spec.test_runs_spec::test_empty_source_set_pauses_at_entry_gate_without_pinning; junit:caos.tests.test_bundle::test_plan_digest_pins_source_set_identity; junit:caos.tests.spec.test_runs_spec::test_plan_digest_is_carried_outside_the_blob_and_reasserted; junit:caos.tests.spec.test_state_spec::test_checkpointed_digests_are_expectations_not_authority; junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_source_content_changed_without_a_new_source_set; junit:caos.tests.spec.test_evidence_spec::test_withdrawal_while_parked_at_interrupt_is_banned_on_resume,retained suite - no action,"Gate exit pins source_set_id and source_set_version (asserted directly), source_set_digest over the six-field projection including source_ids (member ids; re-verified against the store record) and source_authority (per-member sha256 + blocks_digest, proven by the content-changed refusal). Nothing is pinned before the gate; the pin happens on resume before the first module. Weak point: no test enumerates plan['source_authority'] fields by name - member ids/digests are proven through the digest-expectation refusals rather than a field-level assertion."
EVD-003,PASS,junit:caos.tests.spec.test_runs_spec::test_gate_exit_pins_exact_current_source_set_and_later_uploads_do_not_move_it; junit:caos.tests.spec.test_injection_spec::test_out_of_set_source_named_by_the_document_is_refused_and_returns_no_text; junit:caos.tests.spec.test_evidence_spec::test_a_refused_read_ends_the_module_instead_of_returning_a_reason_to_the_model; junit:caos.tests.spec.test_injection_spec::test_a_workbook_imported_after_the_pin_cannot_bind_itself_to_the_run; junit:caos.tests.spec.test_injection_spec::test_a_superseding_workbook_cannot_swap_what_the_pinned_run_binds,retained suite - no action,A document uploaded mid-run does not move the pinned set id; a later same-case source is refused AGENT_AUTHORITY_MISMATCH when read; a loan workbook imported or superseded after the pin never enters the run (the non-agentic channel).
EVD-004,PASS,junit:caos.tests.spec.test_runs_spec::test_acceptance_refuses_missing_historical_source_set; junit:caos.tests.spec.test_state_spec::test_checkpointed_digests_are_expectations_not_authority,retained suite - no action,The pinned set row is deleted after the run succeeds; acceptance raises SOURCE_SET_CHANGED. The digest expectation re-reads the store record by id and refuses a mismatch.
EVD-005,PASS,junit:caos.tests.test_store::test_withdrawal_stales_citing_assumptions_and_bans_new_citations; junit:caos.tests.test_postgres_races::test_assumption_creation_and_withdrawal_serialize; junit:caos.tests.spec.test_evidence_spec::test_read_of_source_withdrawn_after_pin_fails_closed; junit:caos.tests.spec.test_injection_spec::test_withdrawal_racing_the_injected_read_is_caught_live_inside_the_tool; junit:caos.tests.spec.test_runs_spec::test_withdrawing_pinned_source_mid_run_fails_the_run_closed; junit:caos.tests.spec.test_runs_spec::test_acceptance_refuses_a_source_withdrawn_after_run_completion; junit:caos.tests.spec.test_source_complete_modelling_spec::test_withdrawing_a_bound_source_revokes_the_model_and_leaves_the_audit_trail; junit:caos.tests.spec.test_model_builder_spec::test_warmed_model_caches_cannot_outlive_withdrawn_source_authority; junit:caos.tests.spec.test_model_builder_spec::test_build_does_not_complete_ready_after_a_withdrawal_between_resolution_and_commit; junit:caos.tests.test_audit_regressions::test_freeze_refuses_a_citation_whose_source_was_withdrawn_after_save; junit:caos.tests.test_store::test_promotion_after_withdrawal_mints_new_identity_without_resurrection,retained suite - no action,Assumption save refuses EVIDENCE_SOURCE_WITHDRAWN (also on two PostgreSQL connections); every read_evidence re-checks withdrawal live; a run over a withdrawn pinned source fails closed and acceptance refuses; model readiness turns CANONICAL_MODEL_INPUTS_INVALID and a build cannot complete READY past a withdrawal; a deliverable freeze refuses a withdrawn citation. Notes carry no citations in this product - the 'note' half is covered only by a withdrawn promoted-note source never being resurrected (a re-promotion mints a new id).
EVD-006,PASS,junit:caos.tests.spec.test_source_complete_modelling_spec::test_withdrawing_a_bound_source_revokes_the_model_and_leaves_the_audit_trail; junit:caos.tests.test_store::test_withdrawal_stales_citing_assumptions_and_bans_new_citations; junit:caos.tests.spec.test_model_builder_spec::test_warmed_model_caches_cannot_outlive_withdrawn_source_authority; junit:caos.tests.spec.test_http_contracts_spec::test_withdrawn_source_detail_remains_retrievable_with_strict_public_shape; junit:caos.tests.test_source_ingestion::test_duplicate_active_content_rejected_and_withdrawal_reopens,retained suite - no action,"After withdrawal the case's accepted_snapshot_id is unchanged ('acceptance is history, not revoked') while model readiness, the registry read and citing assumptions turn STALE/invalid; the withdrawn source stays retrievable; withdrawal mints a new set version and leaves the pinned record intact."
EVD-007,OPEN,junit:caos.tests.spec.test_injection_spec::test_cross_case_source_named_by_the_document_is_refused; junit:caos.tests.spec.test_evidence_spec::test_read_outside_pinned_source_set_fails_closed; junit:caos.tests.spec.test_evidence_spec::test_every_argument_shape_fails_closed_with_a_typed_refusal; junit:caos.tests.spec.test_evidence_spec::test_read_of_source_withdrawn_after_pin_fails_closed; junit:caos.tests.spec.test_evidence_spec::test_withdrawal_while_parked_at_interrupt_is_banned_on_resume; junit:caos.tests.spec.test_evidence_spec::test_unknown_block_is_output_invalid_and_authority_precedes_existence; junit:caos.tests.spec.test_evidence_spec::test_a_block_id_that_collides_across_sources_reads_only_the_named_source; junit:caos.tests.spec.test_runs_spec::test_acceptance_rejects_source_content_changed_without_a_new_source_set; junit:caos.tests.spec.test_source_complete_modelling_spec::test_corrupting_a_bound_source_revokes_the_model_before_any_use,engine owner (engine/evidence.py) with the decision owner,"Four of the five checks are proven per call: case binding, pinned-set membership, live withdrawal and (source_id, block_id) identity, across the 33-shape matrix. The source DIGEST is not re-verified inside EvidenceReader._authorized_source; it is re-verified per module attempt (Engine._live_plan_sources compares plan['source_authority'] with the live rows before the reader is built) and again at finalization/acceptance (content-changed and vault-corruption refusals). Missing: either a DECISIONS entry recording the per-attempt bracket as satisfying 'on every read_evidence call', or a per-read digest check plus a test that mutates a pinned source's blocks between two reads of one module and asserts the second read refuses."
EVD-008,PASS,junit:caos.tests.spec.test_evidence_spec::test_no_refusal_leaks_evidence_text_or_leaves_a_citation_expectation; junit:caos.tests.spec.test_evidence_spec::test_a_refused_read_ends_the_module_instead_of_returning_a_reason_to_the_model; junit:caos.tests.spec.test_evidence_spec::test_the_run_error_surface_carries_a_code_and_never_a_message; junit:caos.tests.spec.test_injection_spec::test_out_of_set_source_named_by_the_document_is_refused_and_returns_no_text; junit:caos.tests.spec.test_observability_spec::test_a_refused_read_logs_its_typed_code_and_none_of_the_document,retained suite - no action,"All 33 refusal shapes assert the exception chain, the delivered set and the ledger carry no evidence text; a refused read is never a tool_result (the module ends, nothing reaches the model); the persisted run error is {code, module_id}; the log line carries the code only."
EVD-009,PASS,junit:caos.tests.test_provider_tools::test_request_digest_binds_exact_host_tool_definitions; junit:caos.tests.test_provider_tools::test_loop_rejects_an_undeclared_tool_before_host_dispatch; junit:caos.tests.spec.test_injection_spec::test_web_discovery_instruction_cannot_reach_a_second_tool; junit:caos.tests.spec.test_evidence_spec::test_read_outside_pinned_source_set_fails_closed; junit:caos.tests.spec.test_evidence_spec::test_a_refused_read_ends_the_module_instead_of_returning_a_reason_to_the_model; junit:caos.tests.test_provider_tools::test_evidence_tool_schema_matches_the_host_and_canonical_bounds,retained suite - no action,"The model tool surface is exactly read_evidence (plus run_methodology_calculation where a module declares calculators): no list or search tool exists, an undeclared tool is refused by name before dispatch, and a read of a same-case source outside the pinned set is refused with no text."
EVD-010,PASS,junit:caos.tests.spec.test_injection_spec::test_web_discovery_instruction_cannot_reach_a_second_tool; junit:caos.tests.test_provider_tools::test_loop_rejects_an_undeclared_tool_before_host_dispatch; junit:caos.tests.test_provider_tools::test_request_digest_binds_exact_host_tool_definitions; junit:caos.tests.spec.test_modules_spec::test_cp1c_is_pinned_to_supplied_only_evidence; junit:caos.tests.test_user_upload_only::test_deployed_cp1c_has_no_external_peer_acquisition_lane; junit:caos.tests.test_user_upload_only::test_tracked_product_sources_prohibit_external_filing_acquisition; junit:caos.tests.spec.test_research_spec::test_brief_is_persisted_with_its_digest_and_bound_into_the_pinned_plan; junit:caos.tests.spec.test_research_spec::test_start_refuses_missing_incompatible_and_boundary_violating_briefs_before_any_row,retained suite - no action,"Structural ban: the only evidence channel is the host read_evidence tool; any other tool call (web, email, filesystem, shell, network) is refused by name with AGENT_OUTPUT_INVALID and no repair; CP-1C is registry-pinned supplied_only, the tracked sources carry no external acquisition lane, and a Deep Research brief with source_mode 'hybrid' is refused before any row. No per-channel egress test (e.g. a network sandbox) is retained; the proof is the absence of any such tool."
