check_id,family,condition,mechanism,evidence,atlas_owasp,notes,recorded
IAM-001,IAM,Reject every protected route without the enterprise edge authorization secret before body validation,release-gate,run_sec_audit.py::unauthenticated_checks; caos/tests/spec/test_misc_spec.py::test_unauthenticated_requests_are_refused_before_request_shape_validation,API2:2023 Broken Authentication,"Every OpenAPI route ×(no body, with body) → 401 from EdgeIdentityGate; the audit refuses to run if OpenAPI and the registered routes differ.",2026-09-03
IAM-002,IAM,Derive role only from trusted enterprise groups in the enterprise profile,release-gate,run_sec_audit.py::forged_identity_checks; run_sec_audit.py::identity_parsing_checks,API5:2023 Broken Function Level Authorization,"Production identity edge; role from caos-admin/approver/analyst/reader groups, READER otherwise.",2026-09-03
IAM-003,IAM,Ignore client-supplied development role headers in the enterprise profile,release-gate,run_sec_audit.py::forged_identity_checks; qa/probe.py (AC-ROLE-2),API5:2023,x-caos-role: ADMIN with caos-reader groups serves READER; the recorded review blocks any new read of the header outside identity.py.,2026-09-03
IAM-004,IAM,Strip every identity header the application trusts at the edge,structural,run_sec_audit.py::edge_configuration_checks,API2:2023,Caddyfile strips X-Forwarded-User/-Email/-Groups and X-Edge-Authorization and injects the secret; oauth2-proxy skip list equals the gate's public set.,2026-09-03
IAM-005,IAM,"Test group case, whitespace, duplicates, multiple roles, missing subject, and missing groups",release-gate,run_sec_audit.py::identity_parsing_checks,API2:2023,Eleven parsing cases including unicode-hyphen and zero-width confusables (→ READER) and a missing subject (→ 401).,2026-09-03
IAM-006,IAM,"Enforce membership before case read, source read, artifact read, run read, model read, report read, and audit export",release-gate,"run_sec_audit.py::main (actor matrix: outsider, admin-outsider, removed)",API1:2023 Broken Object Level Authorization,Every case- and run-scoped route: three non-member actors receive the byte-identical unknown-id 404 and never see the hidden id.,2026-09-03
IAM-007,IAM,"Enforce writer standing before upload, withdrawal, promotion, start, resume, upgrade, acceptance, model sign-off, and draft save",release-gate,"run_sec_audit.py::main (actor matrix: reader, admin-stored-reader, downgraded → 403 on every write); caos/tests/spec/test_runs_spec.py::test_case_reader_cannot_start_or_upgrade_and_outsiders_see_nothing; caos/tests/spec/test_intake_spec.py::test_the_intake_route_is_a_writer_action_and_a_case_member_boundary",API5:2023,"Stored READER, a global ADMIN with stored READER standing, and a stored ANALYST whose IdP group was downgraded all read and never write.",2026-09-03
IAM-008,IAM,Enforce approver standing before filing and change requests,release-gate,"run_sec_audit.py::main (approver-only routes: analyst → 403, approver/administrator pass); caos/tests/spec/test_publication_spec.py::test_the_opinion_signer_and_the_freeze_actor_cannot_file_their_own_output; caos/tests/spec/test_publication_spec.py::test_approver_is_provisioned_through_the_members_route_without_database_seeding",API5:2023,"Filing, change requests and member provisioning need case APPROVER/ADMIN standing plus a current global writer role.",2026-09-03
IAM-009,IAM,Prevent global role from overriding case membership,release-gate,"run_sec_audit.py::main (admin-outsider → 404, admin-stored-reader → 403); caos/tests/spec/test_misc_spec.py::test_global_reader_cannot_create_a_case",API5:2023,A global ADMIN who is not a member is an outsider; a global ADMIN stored as READER cannot write.,2026-09-03
IAM-010,IAM,Return the same not-found response for absent and invisible resources,release-gate,"run_sec_audit.py::main (unknown-vs-hidden identity per route, unknown-vs-foreign run envelope and lookup class)",API1:2023,"Status, JSON body and headers (minus date) compared per route; the run lookup runs the same run→case→member sequence for both.",2026-09-03
IAM-011,IAM,"Test every route against outsider, reader, analyst, approver, administrator, removed member, and forged identity",release-gate,run_sec_audit.py::main (nine actors × 58 routes = 507 matrix cells); run_sec_audit.py::forged_identity_checks,API5:2023,Removed member = membership row deleted after admission (no route removes members yet).,2026-09-03
