check_id,family,section,condition,result,evidence,owner,notes
UX-001,UX,Test the document-first experience,Drop one or more supported documents onto the entry surface and create or select the correct case without asking for analytical fields,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_an_existing_case_is_resolved_by_normalized_issuer_only_within_the_actor_membership; junit:caos.tests.spec.test_intake_spec::test_two_own_cases_for_one_issuer_make_resolution_ambiguous_so_a_new_case_is_created; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,POST /api/intake takes files only: the golden test asserts the case is created with the issuer derived from the documents ('never typed'); the membership test asserts an unambiguous own case for the same normalized issuer is resolved rather than duplicated and a foreign member's case is never joined. The three-engine smoke (workbench-smoke.mjs L596-612) drops packs on the real 'Analyze documents' drop zone and asserts the panel has no pathway picker (#pathway count 0) and no combobox before submitting with Enter.
UX-002,UX,Test the document-first experience,"Derive issuer, reporting period, document type, and candidate objective from evidence, then show the derivation and confidence for review",PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[full_credit]; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[deep_research]; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Golden test asserts issuer + issuer_confidence (high/medium) + basis host_classification, per-document document_type and period (FY2024, FY2025-Q3), coverage, and route {pathway, depth, selected_by, reason}; every document row carries the pinned keys confidence and signals; the route-selection cases assert route.reason names the deciding word and route.evidence is non-empty. Smoke L613-621 waits for the 'Source disposition manifest' region listing every document and the 'selected by host classification' label on screen."
UX-003,UX,Test the document-first experience,Default to the governed Full Credit route when no narrower objective is safely supported,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[full_credit]; junit:caos.tests.spec.test_intake_spec::test_document_instructions_are_inert_evidence_and_cannot_select_the_route; junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification,,A mixed pack (annual + quarterly + credit agreement) routes to FULL_CREDIT/full; a document instructing DEEP_RESEARCH at screen depth still yields FULL_CREDIT/full; a textless-only pack proposes FULL_CREDIT. Narrower routes are selected only when the pack proves them (the five other route cases).
UX-004,UX,Test the document-first experience,Ask only a blocking clarification that cannot be answered from the supplied documents,PASS,junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"The only clarification the intake ever returns is the typed INTAKE_EVIDENCE_INSUFFICIENT with a next_action, raised when no admitted document carries quotable evidence (status 'clarification', run None); a pack that answers everything starts with no question asked. Smoke L599-600 asserts the intake panel offers no analytical choice (zero comboboxes, no #pathway)."
UX-005,UX,Test the document-first experience,"Never ask the analyst to retype a number, table, source locator, or fact already present in evidence",PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_adding_the_missing_source_recovers_without_reentering_anything; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[deep_research]; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Issuer, periods, types and coverage are read from the documents (asserted 'never typed'); recovery after a textless-only pack takes only the missing file and re-enters nothing; the Deep Research brief is itself a supplied file whose question is read back from the run. Smoke L599-600 asserts the surface asks for nothing but files. Weak point: this is a universal negative and the evidence covers the document-first surface only; the advanced compile form (research question, focus questions) asks for analyst context that is not in evidence, which the condition permits."
UX-006,UX,Test the document-first experience,"Automatically inventory, scan, extract, deduplicate, version, and freeze the source set",PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_exact_duplicates_within_a_pack_collapse_without_losing_the_name; junit:caos.tests.spec.test_intake_spec::test_redropping_the_pack_with_one_new_file_admits_only_what_is_new; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file3-422]; junit:caos.tests.test_corpus_pathways::test_user_uploaded_document_is_admitted_with_blocks[CCL_2025_annual_report.pdf]; junit:caos.tests.spec.test_runs_spec::test_gate_exit_pins_exact_current_source_set_and_later_uploads_do_not_move_it,,"Inventory = the documents manifest (one row per file with disposition); scan = the EICAR member refuses the pack; extract = every admitted document carries blocks (30-document corpus run); dedupe = exact duplicate collapses to one source id with both names; version = one source-set version per pack, v2 on the redrop; freeze = run.plan.source_set_id equals the current set and the gate pin never moves with later uploads."
UX-007,UX,Test the document-first experience,Automatically compile and start the route after the source gate passes,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_a_completed_intake_run_is_reviewable_but_never_accepted_on_the_analysts_behalf; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Intake status 'started', run.plan pinned to the admitted set and case.current_execution_id set in the same response; the host-control run then completes with every node succeeded. Smoke L610-611 waits for '... selected by host classification. Execution started.' after the drop."
UX-008,UX,Test the document-first experience,Pause with one actionable missing-evidence message when the source gate fails,PASS,junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification; junit:caos.tests.spec.test_runs_spec::test_empty_source_set_pauses_at_entry_gate_without_pinning; junit:caos.tests.spec.test_runs_spec::test_resume_with_still_empty_set_re_pauses_without_pinning; artifact:gates/browser/a11y-rerun.txt; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Insufficient evidence yields exactly one typed refusal {code INTAKE_EVIDENCE_INSUFFICIENT, next_action} with run None and the scan still admitted; the run gate itself pauses without pinning on an empty set and re-pauses on resume. The a11y sweep scans the 'refusal' state on screen; smoke L644-656 shows the refused pack's 'Documents not admitted' alert naming the offending file."
UX-009,UX,Test the document-first experience,"Resume automatically after the missing document arrives, without recreating the case or route",PASS,junit:caos.tests.spec.test_intake_spec::test_adding_the_missing_source_recovers_without_reentering_anything; junit:caos.tests.spec.test_intake_spec::test_the_intake_and_its_run_survive_a_process_restart,,"Dropping the missing annual into the same case_id returns status 'started' on FULL_CREDIT with source-set v2 still holding the scan (same case, same route, new run started automatically); GET /cases/{id}/intake serves the latest intake. Restart test proves the intake and run are durable."
UX-010,UX,Test the document-first experience,Open the completed analytical review when the run succeeds,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; junit:caos.tests.spec.test_intake_spec::test_a_completed_intake_run_is_reviewable_but_never_accepted_on_the_analysts_behalf,,"Smoke L626-635: after the host-control run completes, the intake panel offers 'Open review', which lands on /run-console/ for that case showing 'Run status: succeeded' and the 'Accept analytical snapshot' control, with accepted_snapshot_id still null on the wire. Backend test pins that completion never accepts on the analyst's behalf."
