check_id,result,evidence,owner,notes
UX-001,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_an_existing_case_is_resolved_by_normalized_issuer_only_within_the_actor_membership; junit:caos.tests.spec.test_intake_spec::test_two_own_cases_for_one_issuer_make_resolution_ambiguous_so_a_new_case_is_created; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,POST /api/intake takes files only: the golden test asserts the case is created with the issuer derived from the documents ('never typed'); the membership test asserts an unambiguous own case for the same normalized issuer is resolved rather than duplicated and a foreign member's case is never joined. The three-engine smoke (workbench-smoke.mjs L596-612) drops packs on the real 'Analyze documents' drop zone and asserts the panel has no pathway picker (#pathway count 0) and no combobox before submitting with Enter.
UX-002,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[full_credit]; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[deep_research]; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Golden test asserts issuer + issuer_confidence (high/medium) + basis host_classification, per-document document_type and period (FY2024, FY2025-Q3), coverage, and route {pathway, depth, selected_by, reason}; every document row carries the pinned keys confidence and signals; the route-selection cases assert route.reason names the deciding word and route.evidence is non-empty. Smoke L613-621 waits for the 'Source disposition manifest' region listing every document and the 'selected by host classification' label on screen."
UX-003,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[full_credit]; junit:caos.tests.spec.test_intake_spec::test_document_instructions_are_inert_evidence_and_cannot_select_the_route; junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification,,A mixed pack (annual + quarterly + credit agreement) routes to FULL_CREDIT/full; a document instructing DEEP_RESEARCH at screen depth still yields FULL_CREDIT/full; a textless-only pack proposes FULL_CREDIT. Narrower routes are selected only when the pack proves them (the five other route cases).
UX-004,PASS,junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"The only clarification the intake ever returns is the typed INTAKE_EVIDENCE_INSUFFICIENT with a next_action, raised when no admitted document carries quotable evidence (status 'clarification', run None); a pack that answers everything starts with no question asked. Smoke L599-600 asserts the intake panel offers no analytical choice (zero comboboxes, no #pathway)."
UX-005,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_adding_the_missing_source_recovers_without_reentering_anything; junit:caos.tests.spec.test_intake_spec::test_host_classification_selects_each_pathway_from_the_documents_alone[deep_research]; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Issuer, periods, types and coverage are read from the documents (asserted 'never typed'); recovery after a textless-only pack takes only the missing file and re-enters nothing; the Deep Research brief is itself a supplied file whose question is read back from the run. Smoke L599-600 asserts the surface asks for nothing but files. Weak point: this is a universal negative and the evidence covers the document-first surface only; the advanced compile form (research question, focus questions) asks for analyst context that is not in evidence, which the condition permits."
UX-006,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_exact_duplicates_within_a_pack_collapse_without_losing_the_name; junit:caos.tests.spec.test_intake_spec::test_redropping_the_pack_with_one_new_file_admits_only_what_is_new; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file3-422]; junit:caos.tests.test_corpus_pathways::test_user_uploaded_document_is_admitted_with_blocks[CCL_2025_annual_report.pdf]; junit:caos.tests.spec.test_runs_spec::test_gate_exit_pins_exact_current_source_set_and_later_uploads_do_not_move_it,,"Inventory = the documents manifest (one row per file with disposition); scan = the EICAR member refuses the pack; extract = every admitted document carries blocks (30-document corpus run); dedupe = exact duplicate collapses to one source id with both names; version = one source-set version per pack, v2 on the redrop; freeze = run.plan.source_set_id equals the current set and the gate pin never moves with later uploads."
UX-007,PASS,junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_a_completed_intake_run_is_reviewable_but_never_accepted_on_the_analysts_behalf; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Intake status 'started', run.plan pinned to the admitted set and case.current_execution_id set in the same response; the host-control run then completes with every node succeeded. Smoke L610-611 waits for '... selected by host classification. Execution started.' after the drop."
UX-008,PASS,junit:caos.tests.spec.test_intake_spec::test_a_textless_pdf_alone_is_admitted_and_returns_one_typed_clarification; junit:caos.tests.spec.test_runs_spec::test_empty_source_set_pauses_at_entry_gate_without_pinning; junit:caos.tests.spec.test_runs_spec::test_resume_with_still_empty_set_re_pauses_without_pinning; artifact:gates/browser/a11y-rerun.txt; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,,"Insufficient evidence yields exactly one typed refusal {code INTAKE_EVIDENCE_INSUFFICIENT, next_action} with run None and the scan still admitted; the run gate itself pauses without pinning on an empty set and re-pauses on resume. The a11y sweep scans the 'refusal' state on screen; smoke L644-656 shows the refused pack's 'Documents not admitted' alert naming the offending file."
UX-009,PASS,junit:caos.tests.spec.test_intake_spec::test_adding_the_missing_source_recovers_without_reentering_anything; junit:caos.tests.spec.test_intake_spec::test_the_intake_and_its_run_survive_a_process_restart,,"Dropping the missing annual into the same case_id returns status 'started' on FULL_CREDIT with source-set v2 still holding the scan (same case, same route, new run started automatically); GET /cases/{id}/intake serves the latest intake. Restart test proves the intake and run are durable."
UX-010,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; junit:caos.tests.spec.test_intake_spec::test_a_completed_intake_run_is_reviewable_but_never_accepted_on_the_analysts_behalf,,"Smoke L626-635: after the host-control run completes, the intake panel offers 'Open review', which lands on /run-console/ for that case showing 'Run status: succeeded' and the 'Accept analytical snapshot' control, with accepted_snapshot_id still null on the wire. Backend test pins that completion never accepts on the analyst's behalf."
UX-011,PASS,artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt; junit:caos.tests.spec.test_deliverables_spec::test_full_credit_draft_composes_one_governed_decision_document; junit:caos.tests.spec.test_deliverables_spec::test_optional_generated_blocks_become_locked_document_appendices; junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer; junit:caos.tests.spec.test_deliverables_spec::test_declared_limitations_slot_saves_without_model_identity_on_optional_pathway,,"Smoke L2015-2032 asserts the frozen paper renders 'Accepted Analysis' (facts/machine output, locked), 'Analyst Snapshot' (analyst edit), 'Analyst Opinion', 'Opinion Sign-Off' rows (Limitations, Signed by, Approval state PENDING APPROVAL) and 'Control Status' as separate sections; unit tests 'only analyst-owned editable text can be overlaid by draft blocks' and 'the structured document is safe and keeps generated content read-only'. Caveat: the Report Studio half of the smoke runs against route-mocked fixtures; the real payload composition is proven by the backend tests cited."
UX-012,OPEN,junit:caos.tests.spec.test_http_contracts_spec::test_client_cannot_enable_the_placeholder_deterministic_test_seam; junit:caos.tests.test_single_instance::test_production_builds_only_the_exact_qualified_anthropic_binding; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json; artifact:gates/frontend-unit.txt,decision owner (new candidate),"Second half proven: model selection/preview/sign-off, scenario registry, revision and opinion sign-off are driven in the smoke (L1128-1270, L1967-2010) and unit tests ('model sign-off is one ordered approval sequence', 'Scenario registry is build-bound', 'the opinion is signed on the exact saved revision'). Provider binding is server-owned (client cannot select an executor; production builds only the qualified binding). Missing: no retained assertion states that no LLM/provider picker exists on any workbench surface; the smoke only asserts no pathway picker/combobox on the intake panel. Add one absent-control assertion (e.g. no combobox naming provider/model on cases, run-console, model-builder, report-studio)."
UX-013,PROVED HOST CONTROL,junit:caos.tests.spec.test_runs_spec::test_node_set_and_edges_are_a_pure_function_of_pathway_and_depth; junit:caos.tests.test_corpus_pathways::test_supported_routes_complete_host_path_on_30_document_upload; artifact:gates/qualification/host-control-matrix.txt; artifact:gates/corpus-full.txt; artifact:gates/browser/browser-gates.txt; artifact:gates/browser/test-results/chromium/workbench-report.json; artifact:gates/browser/test-results/firefox/workbench-report.json; artifact:gates/browser/test-results/webkit/workbench-report.json,enterprise test owner (live credential) / model risk,"The route is a pure function of (pathway, depth) independent of provider, and the same workflow completes under the answer-keyed host-control binding on every route at both depths. Only one qualified live binding can exist (exact Anthropic pair) and it is BLOCKED EXTERNAL, so no second 'qualified model choice' has been exercised; nothing here compares controls across live models."
