sim_id,condition,candidate_result,tests,outcomes
SIM-001,Kill the process before provider call,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_001_kill_before_any_provider_call_leaves_no_reservation_and_recovers_once,passed
SIM-002,Kill after reservation but before provider call,PASS,caos/tests/spec/test_budget_spec.py::test_unresolved_inflight_reservation_fails_closed_on_resume_without_respend,passed
SIM-003,Kill during provider call,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_003_kill_during_the_provider_call_never_spends_again_on_resume,passed
SIM-004,Kill after provider response but before artifact commit,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_004_kill_after_the_response_before_the_artifact_commit_yields_one_artifact,passed
SIM-005,Kill after artifact commit but before checkpoint write,PASS,caos/tests/spec/test_runs_spec.py::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge,passed
SIM-006,Kill during final validation,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_006_kill_during_final_validation_never_commits_success_twice_or_past_the_ceiling;caos/tests/spec/test_budget_spec.py::test_reconcile_commits_the_actual_usage_before_it_refuses_the_overage,passed;passed
SIM-007,Kill during snapshot acceptance,PASS,caos/tests/spec/test_runs_spec.py::test_acceptance_rolls_back_snapshot_both_pointers_and_audit_as_one_unit;caos/tests/test_postgres_races.py::test_snapshot_acceptance_race_moves_the_case_and_run_pointers_once,passed;passed
SIM-008,Kill during model build or workbook render,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_008_a_worker_killed_mid_build_leaves_one_retryable_job_that_a_restart_completes;caos/tests/test_worker.py::test_a_crashing_pass_never_fails_a_row_that_was_repointed_under_it;caos/tests/test_worker.py::test_a_crashing_export_pass_never_clobbers_an_export_published_under_it,passed;passed;passed
SIM-009,"Kill during report render, freeze, or filing",PASS,caos/tests/spec/test_publication_spec.py::test_a_worker_crash_mid_render_is_recovered_by_requeue_on_the_next_start;caos/tests/spec/test_deliverables_spec.py::test_freeze_retry_recovers_after_files_publish_but_before_record_commit;caos/tests/spec/test_deliverables_spec.py::test_change_request_revision_conflict_rolls_back_frozen_and_thread_transition,passed;passed;passed
SIM-010,Database unavailable before a write,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_010_database_unavailable_before_a_write_is_typed_and_leaves_no_partial_file,passed
SIM-011,Database disconnect after write acknowledgement,PASS,caos/tests/test_postgres_races.py::test_disconnect_after_an_acknowledged_write_is_resolved_by_idempotent_retry,passed
SIM-012,Serialization failure or deadlock,PASS,caos/tests/test_postgres_races.py::test_model_sign_off_race_has_one_revision_and_one_typed_conflict;caos/tests/test_postgres_races.py::test_draft_save_race_conflict_carries_the_committed_head;caos/tests/test_postgres_races.py::test_opinion_sign_off_race_leaves_one_head;caos/tests/test_postgres_races.py::test_event_sequence_allocation_serializes_two_writers_on_one_run;caos/tests/test_postgres_races.py::test_budget_reserve_race_has_one_reservation_and_one_typed_refusal,passed;passed;passed;passed;passed
SIM-013,Two concurrent identical uploads,PASS,caos/tests/test_postgres_races.py::test_duplicate_upload_race_admits_one_active_source_and_one_set_version;caos/tests/test_postgres_races.py::test_concurrent_identical_intake_packs_admit_one_pack;caos/tests/test_postgres_races.py::test_concurrent_distinct_uploads_allocate_monotonic_source_set_versions,passed;passed;passed
SIM-014,Upload and withdrawal interleave,PASS,caos/tests/test_postgres_races.py::test_upload_and_withdrawal_interleave_yield_monotonic_history_under_both_orders;caos/tests/test_postgres_races.py::test_duplicate_withdrawal_race_withdraws_once,passed;passed
SIM-015,Two workers claim one model job,PASS,caos/tests/test_postgres_races.py::test_model_build_claim_race_has_one_executor;caos/tests/test_postgres_races.py::test_freeze_claim_race_has_one_renderer;caos/tests/test_worker.py::test_a_lost_claim_never_computes_and_never_touches_the_winner,passed;passed;passed
SIM-016,Two analysts sign the same model base,PASS,caos/tests/test_postgres_races.py::test_model_sign_off_race_has_one_revision_and_one_typed_conflict;caos/tests/spec/test_model_builder_spec.py::test_two_concurrent_sign_offs_have_one_atomic_winner,passed;passed
SIM-017,Two approvers file the same digest,PASS,caos/tests/test_postgres_races.py::test_filing_race_files_once_with_one_receipt;caos/tests/spec/test_publication_spec.py::test_concurrent_filers_yield_one_receipt_and_one_typed_loser,passed;passed
SIM-018,Source withdraws during evidence read,PASS,caos/tests/spec/test_evidence_spec.py::test_read_of_source_withdrawn_after_pin_fails_closed;caos/tests/spec/test_injection_spec.py::test_withdrawal_racing_the_injected_read_is_caught_live_inside_the_tool;caos/tests/spec/test_runs_spec.py::test_withdrawing_pinned_source_mid_run_fails_the_run_closed,passed;passed;passed
SIM-019,Source withdraws after run success but before acceptance,PASS,caos/tests/spec/test_runs_spec.py::test_acceptance_refuses_a_source_withdrawn_after_run_completion;caos/tests/spec/test_runs_spec.py::test_withdrawal_in_the_last_pre_finalization_gap_fails_the_run,passed;passed
SIM-020,Membership changes during freeze or filing,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_commit_is_rejected_at_commit_time;caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_freeze_commit_is_rejected;caos/tests/spec/test_deliverables_spec.py::test_downgraded_global_reader_loses_filing_authority_despite_case_standing,passed;passed;passed
SIM-021,Vault byte changes after upload,PASS,caos/tests/test_source_ingestion.py::test_existing_source_vault_corruption_is_never_reused_or_read;caos/tests/spec/test_runs_spec.py::test_acceptance_rejects_corrupted_uploaded_source_bytes;caos/tests/spec/test_deliverables_spec.py::test_gate_recomputes_stored_digest_and_refuses_tampered_frozen_content,passed;passed;passed
SIM-022,"Checkpoint file is absent, truncated, locked, or corrupt",PASS,caos/tests/spec/test_simulations_spec.py::test_sim_022_absent_checkpoint_recovers_from_domain_truth_without_re_executing_finished_modules;caos/tests/spec/test_simulations_spec.py::test_sim_022_truncated_or_corrupt_checkpoint_refuses_startup_without_inventing_progress;caos/tests/test_single_instance.py::test_checkpoint_lock_refuses_a_second_holder_and_releases_on_exit;caos/tests/test_single_instance.py::test_a_second_dev_server_on_the_same_data_directory_fails_startup_and_never_serves,passed;passed;passed;passed
SIM-023,Disk becomes full during vault or export write,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_023_disk_full_during_the_vault_write_leaves_no_source_and_no_partial_file;caos/tests/spec/test_simulations_spec.py::test_sim_023_disk_full_during_the_export_write_finalizes_the_job_failed_with_no_frozen_record,passed;passed
SIM-024,"Provider returns timeout, disconnect, 429, 500, 401, 403, 422, redirect, malformed usage, or malformed output",PASS,caos/tests/spec/test_simulations_spec.py::test_sim_024_provider_failures_end_typed_sanitized_and_bounded;caos/tests/spec/test_budget_spec.py::test_malformed_or_zero_usage_is_output_invalid_with_reservation_unresolved;caos/tests/spec/test_budget_spec.py::test_max_tokens_truncation_fails_module_immediately_without_consuming_repair;caos/tests/spec/test_budget_spec.py::test_timeout_retry_must_be_byte_identical_and_single,passed;passed;passed;passed
SIM-025,Server-Sent Event connection drops and reconnects,PASS,caos/tests/spec/test_http_contracts_spec.py::test_run_events_sse_tails_the_event_log_with_last_event_id_resume;caos/tests/spec/test_misc_spec.py::test_concurrent_stream_slots_are_capped_and_always_returned,passed;passed
SIM-026,Browser receives an older response after case or run switch,PASS,caos/frontend/src/lib/workspaceAuthority.test.ts::rejects a previous-generation completion for the same case and run;caos/frontend/src/lib/workspaceAuthority.test.ts::rejects a stale failed request,passed;passed
SIM-027,Wall clock moves backward or forward,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_027_a_wall_clock_jump_never_reorders_events_or_charges_time_twice;caos/tests/spec/test_state_spec.py::test_single_time_authority_survives_a_day_boundary,passed;passed
SIM-028,Enterprise identity provider or malware scanner is unavailable,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_028_an_unreachable_malware_scanner_refuses_the_upload_with_an_actionable_status;caos/tests/spec/test_misc_spec.py::test_client_role_header_cannot_escalate_in_production;caos/tests/spec/test_misc_spec.py::test_edge_scrubs_every_identity_header_the_app_trusts,passed;passed;passed
SIM-029,LibreOffice hangs or exits nonzero,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_029_a_hanging_pdf_renderer_finalizes_the_freeze_failed_without_a_published_digest;caos/tests/spec/test_publication_spec.py::test_a_rendering_failure_leaves_a_typed_failed_job_and_no_frozen_record,passed;passed
SIM-030,Repeated restart loop during active work,PASS,caos/tests/spec/test_simulations_spec.py::test_sim_030_a_restart_loop_during_active_work_recovers_idempotently_and_bounded,passed
