check_id,result,evidence,owner,notes
CALC-001,PASS,junit:caos.tests.spec.test_source_complete_modelling_spec::test_full_credit_build_binds_every_relevant_document_to_the_model_or_the_analysis;junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_used_document_that_nothing_consumed_is_a_typed_incomplete_model_never_ready;junit:caos.tests.spec.test_model_builder_spec::test_golden_cp_model_fixtures_pass_vendor_validation,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-002,PASS,junit:caos.tests.spec.test_model_builder_spec::test_cp_model_rejects_hidden_stable_tables;junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_annual_report_refuses_at_the_source_gate,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-003,PASS,junit:caos.tests.spec.test_model_builder_spec::test_allowed_unavailable_liquidity_degrades_to_named_nulls_not_zeros;junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-004,PASS,junit:caos.tests.spec.test_model_builder_spec::test_finite_guards_reject_non_finite_and_zero_denominators;junit:caos.tests.spec.test_model_builder_spec::test_assumption_inputs_fail_closed_on_unit_nonfinite_and_bounds;junit:caos.tests.spec.test_model_builder_spec::test_zero_denominators_yield_none_metrics_and_nonfinite_cp1_fails_validation,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-005,PASS,junit:caos.tests.spec.test_source_complete_modelling_spec::test_derived_periods_follow_the_governed_formulas_and_never_overwrite_a_reported_one,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-006,PASS,junit:caos.tests.spec.test_source_complete_modelling_spec::test_every_pathway_overlays_its_declared_effect_on_the_full_credit_model,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-007,PASS,junit:caos.tests.spec.test_model_builder_spec::test_accepted_full_credit_queues_and_builds_an_idempotent_content_addressed_model;junit:caos.tests.spec.test_source_complete_modelling_spec::test_an_irrelevant_document_changes_no_result_and_is_never_silently_discarded,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-008,PASS,junit:caos.tests.spec.test_model_builder_spec::test_workbook_pins_registry_identity_and_cell_expectations_match_engine,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-009,PASS,junit:caos.tests.spec.test_model_builder_spec::test_workbook_pins_registry_identity_and_cell_expectations_match_engine;junit:caos.tests.spec.test_model_builder_spec::test_worksheet_serialization_requires_no_external_binaries,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-010,PASS,junit:caos.tests.spec.test_model_builder_spec::test_first_breach_identity_family_sign_and_committee_visibility,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-011,PASS,junit:caos.tests.spec.test_model_builder_spec::test_preview_and_signoff_share_exact_calculation_and_previews_persist_nothing;junit:caos.tests.spec.test_model_builder_spec::test_scenario_and_one_way_are_transient_with_registry_guardrails;junit:caos.tests.spec.test_model_builder_spec::test_newer_accepted_build_stales_revisions_and_rebase_preview_is_transient,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-012,PASS,junit:caos.tests.spec.test_source_complete_modelling_spec::test_hard_bounds_apply_one_value_below_at_and_above_each_boundary,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-013,PASS,junit:caos.tests.spec.test_model_builder_spec::test_preview_and_signoff_share_exact_calculation_and_previews_persist_nothing;junit:caos.tests.spec.test_model_builder_spec::test_http_preview_signoff_history_and_stale_head_conflict,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-014,PASS,junit:caos.tests.spec.test_model_builder_spec::test_sign_off_validates_exact_current_build_identity;junit:caos.tests.spec.test_model_builder_spec::test_sign_off_against_superseded_build_reports_current_build_identity;junit:caos.tests.spec.test_model_builder_spec::test_warmed_model_caches_cannot_outlive_withdrawn_source_authority,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-015,PASS,junit:caos.tests.spec.test_model_builder_spec::test_sign_off_cas_is_append_only_with_separate_head_and_monotonic_order;junit:caos.tests.spec.test_model_builder_spec::test_two_concurrent_sign_offs_have_one_atomic_winner,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-016,PASS,junit:caos.tests.spec.test_model_builder_spec::test_signed_revision_database_guard_refuses_every_immutable_mutation_and_delete;junit:caos.tests.spec.test_model_builder_spec::test_signed_revision_immutability_ddl_covers_sqlite_and_postgres,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-017,PASS,junit:caos.tests.spec.test_model_builder_spec::test_rebase_reports_source_context_drift_and_unmapped_assumptions,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-018,PASS,junit:caos.tests.spec.test_model_builder_spec::test_signed_export_is_runtime_pinned_hash_verified_and_never_demotes;junit:caos.tests.spec.test_model_builder_spec::test_revision_download_rejects_another_revisions_valid_export_manifest,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-019,PASS,junit:caos.tests.spec.test_model_builder_spec::test_concurrent_queue_is_idempotent_and_attributes_the_winner;junit:caos.tests.spec.test_model_builder_spec::test_sign_off_serializes_with_a_concurrent_newer_build_completion;junit:caos.tests.spec.test_model_builder_spec::test_calculations_share_one_aggregate_deadline_without_persistence,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
CALC-020,PASS,junit:caos.tests.spec.test_distressed_model_overlay::test_distressed_recomputes_calculation_outputs_before_model_use;junit:caos.tests.spec.test_source_complete_modelling_spec::test_an_overlay_effect_is_rebuilt_from_the_records_it_names_and_refuses_a_forged_one;junit:caos.tests.spec.test_model_builder_spec::test_validated_build_rejects_tampered_publishing_identity,,"SPEC_RECONCILIATION.md ""CALC-001–020 → retained tests""; every cited test (parametrized cells included) passed in the candidate junit"
