check_id,result,evidence,owner,notes
AUD-001,OPEN,junit:caos.tests.test_store::test_governed_writes_commit_state_and_audit_together; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit; junit:caos.tests.spec.test_intake_spec::test_one_refused_file_refuses_the_whole_pack_and_admits_nothing[bad_file0-422]; junit:caos.tests.test_postgres_races::test_duplicate_withdrawal_race_withdraws_once; junit:caos.tests.test_postgres_races::test_duplicate_upload_race_admits_one_active_source_and_one_set_version,application team (intake/store audit vocabulary),"Partial. Proven: source.ingested per admitted file (and case.created), intake.admitted with intake_id and source_count, intake.run_started, intake.refused with its code and no case, source.withdrawn exactly once under race. Not recorded as audit events anywhere in the store's vocabulary: scan, extraction, preparation, relevance disposition, period/revision classification and deduplication (a duplicate upload is a refusal that appends no audit row; test_store asserts the trail is unchanged). Promotion has no retained positive assertion (test_promotion_rolls_back_atomically_on_downstream_failure asserts only the rollback; note.promoted is pinned only as a synthetic wire shape in test_http_contracts_spec). Dispositions and period classification persist on the case_intakes record and the source rows (served and packaged) but not as events. Missing: audit rows, or a recorded decision that record fields suffice, for scan/extraction/preparation/disposition/classification/dedup, plus a positive note.promoted assertion."
AUD-002,OPEN,junit:caos.tests.spec.test_runs_spec::test_plan_digest_is_carried_outside_the_blob_and_reasserted; junit:caos.tests.spec.test_runs_spec::test_gate_exit_pins_exact_current_source_set_and_later_uploads_do_not_move_it; junit:caos.tests.spec.test_state_spec::test_plan_blob_is_frozen_and_digest_reassertion_catches_mutation; junit:caos.tests.test_bundle::test_all_golden_routes_compile_parse_first_and_deterministically; junit:caos.tests.test_bundle::test_compiled_route_matches_its_pinned_golden[FULL_CREDIT-full]; junit:caos.tests.test_bundle::test_plan_digest_pins_source_set_identity; junit:caos.tests.spec.test_intake_spec::test_golden_pack_creates_the_case_admits_every_file_and_starts_full_credit,application team (pinned-plan assertion for profile/selection),"Partial. Proven: the pinned plan carries the compiled route (nodes and dependencies, deterministic, matched to the pinned golden per pathway/depth), plan_digest kept outside the digested blob and re-asserted (tampering the pinned set is AGENT_AUTHORITY_MISMATCH), build_id == bundle.build_id, source_set_id/version pinned at gate exit and immovable, and pathway/depth on the run plan with the persisted route decision (selected_by, reason). Not proven: the profile. plan[""profile_id""]/selection_id are read by the runtime into host identity but no retained test asserts they are recorded on a persisted run. Missing: an assertion that the run's pinned plan carries profile_id and selection_id."
AUD-003,OPEN,junit:caos.tests.spec.test_runs_spec::test_response_identity_substitution_reconciles_and_audits_before_refusal; junit:caos.tests.spec.test_budget_spec::test_actual_usage_overage_still_records_the_returned_response; junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[401]; junit:caos.tests.spec.test_budget_spec::test_attempt_recorder_allowlist_truncation_and_asymmetric_caps; junit:caos.tests.spec.test_budget_spec::test_store_attempt_recorder_uses_the_same_route_sized_cap,application team (attempt-row assertions),"Partial. Proven on persisted attempt rows: the provider identity (provider, model, adapter version, identity digest) on every generation row, observed_model as the provider returned it, a 64-hex response_digest, terminal rows carrying terminal_code, the scalar allowlist with truncation and the route-sized cap (terminal rows cap-exempt). Recorded by the loop but not asserted by any retained test on the row: request_digest, input/output token usage on the generation row (only ledger totals are asserted), provider_retry rows (retry_index) and repair_reserve rows. Missing: retained assertions that a generation row carries request_digest and usage, and that a timeout retry and a repair each append their attempt row."
AUD-004,OPEN,junit:caos.tests.spec.test_evidence_spec::test_returned_rows_carry_provenance_and_the_delivered_set_is_the_citation_contract; junit:caos.tests.spec.test_evidence_spec::test_evidence_bytes_measure_is_the_tool_result_serialization; junit:caos.tests.spec.test_evidence_spec::test_no_refusal_leaks_evidence_text_or_leaves_a_citation_expectation[withdrawn]; junit:caos.tests.spec.test_observability_spec::test_a_refused_read_logs_its_typed_code_and_none_of_the_document,application team (engine/evidence per-read ledger),"Partial. What is recorded per read is a run-wide counter pair on the budget ledger (evidence_reads += 1, evidence_bytes += serialized size) and, at canonicalization, citations validated against the in-memory delivered set; a refused read is logged by typed code with none of the document. No durable per-read record (which source and block ids each read returned, when, for which module) exists in the store, the run events or the logs, so the record half is not met; the no-text half is proven (33 refusal shapes leave no text in rows, exception chain or ledger; a refused read leaves no citation expectation). Missing: a persisted per-read row (source_id, block_ids, bytes, module, seq) and a test over it."
AUD-005,PASS,junit:caos.tests.spec.test_runs_spec::test_provider_identity_is_read_once_and_bound_through_runtime_authority; junit:caos.tests.spec.test_modules_spec::test_deterministic_module_payloads_keep_the_typed_contract; junit:caos.tests.spec.test_modules_spec::test_canonical_output_schema_is_strict_and_bounded; junit:caos.tests.spec.test_modules_spec::test_non_passed_module_qa_is_terminal; junit:caos.tests.spec.test_simulations_spec::test_sim_024_provider_failures_end_typed_sanitized_and_bounded[401]; junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_used_document_that_nothing_consumed_is_a_typed_incomplete_model_never_ready; junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_quarterly_report_changes_the_input_and_the_lineage_but_no_output; junit:caos.tests.spec.test_runs_spec::test_replay_from_same_pinned_sources_and_build_is_equivalent_by_the_same_path,,"The stored artifact is the canonical envelope: digest(payload) == artifact digest, and the envelope carries lineage, confidence and provenance under a strict bounded schema (findings counts bounded, undeclared fields refused). Validation findings are recorded as typed codes (terminal_code on the last attempt row, the run error code; a non-Passed qa_status is terminal) and for the model as readiness blockers (MODEL_SOURCE_LINEAGE_INCOMPLETE never READY). Lineage is recorded per artifact (lineage.upstream_digests differ between runs) and per build (source_lineage, one row per pinned source, changing when a source is removed while outputs do not). Caveat: confidence inputs (source_gate, qa_status, findings) are proven as envelope fields via the schema pin and the deterministic path; no retained test inspects the confidence recomputation inputs on a live agent artifact."
AUD-006,PASS,junit:caos.tests.spec.test_budget_spec::test_no_provider_call_without_a_successful_reservation; junit:caos.tests.spec.test_budget_spec::test_unresolved_inflight_reservation_fails_closed_on_resume_without_respend; junit:caos.tests.spec.test_budget_spec::test_reconcile_commits_the_actual_usage_before_it_refuses_the_overage; junit:caos.tests.spec.test_budget_spec::test_each_ceiling_refuses_the_next_operation_before_overspend[input_tokens]; junit:caos.tests.test_postgres_races::test_budget_reserve_race_has_one_reservation_and_one_typed_refusal; junit:caos.tests.test_postgres_races::test_budget_reconcile_race_applies_the_true_up_exactly_once; junit:caos.tests.test_postgres_races::test_budget_charge_race_refuses_the_ceiling_before_overspend; junit:caos.tests.spec.test_observability_spec::test_the_log_answers_what_it_has_spent,,"The run_budgets ledger persists limits, used, the in-flight reservation digest and the attempt ring. A reservation is recorded before any provider call (a failed reservation means zero calls), an unreconciled in-flight reservation survives a crash and fails closed on resume without re-spend, reconciliation commits the actual billed usage (used.output_tokens == 5000) before refusing the overage and clears the in-flight digest, reserve/reconcile/charge each apply exactly once under two-connection races, and budget.reserved/budget.reconciled log lines answer what a run has spent. The remaining ceiling is served as limits minus used from the persisted record rather than as a separate stored column."
AUD-007,OPEN,junit:caos.tests.spec.test_runs_spec::test_event_log_is_per_run_monotonic_with_legacy_names_and_single_terminal; junit:caos.tests.spec.test_research_spec::test_brief_is_persisted_with_its_digest_and_bound_into_the_pinned_plan; junit:caos.tests.spec.test_runs_spec::test_recovery_durably_quarantines_malformed_stored_identity_without_provider_contact; junit:caos.tests.spec.test_runs_spec::test_provider_identity_is_read_once_and_bound_through_runtime_authority; junit:caos.tests.spec.test_runs_spec::test_acceptance_rolls_back_snapshot_both_pointers_and_audit_as_one_unit; junit:caos.tests.test_postgres_races::test_snapshot_acceptance_race_moves_the_case_and_run_pointers_once; junit:caos.tests.spec.test_runs_spec::test_run_pinned_to_immutable_source_set_and_upgrade_links_origin,application team (snapshot switch audit assertion),"Partial. Proven: run.created/run.running/node.running/node.succeeded/run.succeeded on the per-run monotonic event log with one terminal event, run.paused at the plan-approval gate, run.failed carrying the typed code, snapshot.accepted audited inside the acceptance transaction with the provider identity digest (exactly once under race), and upgraded_from_run_id linking an upgrade to its origin. Not proven: the snapshot switch. test_misc_spec::test_newer_accepted_run_sets_switch_required_until_explicit_switch calls switch_visible twice but asserts only the view's switch_required flag, and snapshot.visible_switched is otherwise pinned only as a synthetic wire shape in test_http_contracts_spec. Resume is recorded as run.running; gate.resolved is a log line, not a run event. Missing: an assertion that switch_visible appends snapshot.visible_switched with the snapshot id."
AUD-008,OPEN,junit:caos.tests.spec.test_source_complete_modelling_spec::test_full_credit_build_binds_every_relevant_document_to_the_model_or_the_analysis; junit:caos.tests.spec.test_model_builder_spec::test_sign_off_cas_is_append_only_with_separate_head_and_monotonic_order; junit:caos.tests.spec.test_model_builder_spec::test_two_concurrent_sign_offs_have_one_atomic_winner; junit:caos.tests.spec.test_model_builder_spec::test_preview_and_signoff_share_exact_calculation_and_previews_persist_nothing; junit:caos.tests.spec.test_model_builder_spec::test_scenario_and_one_way_are_transient_with_registry_guardrails; junit:caos.tests.spec.test_model_builder_spec::test_newer_accepted_build_stales_revisions_and_rebase_preview_is_transient,"decision owner (audit of transient previews, scenarios and rebases)","Partial and partly contradicted by design. Proven: model.build_ready is audited when a build reaches READY; model.revision.signed exactly once per signed revision (append-only, expected-head CAS, one winner under race) with a server-assigned monotonic authority order. Not recorded by design: previews, scenario/one-way/tornado calculations and rebase previews are deliberately transient and the retained tests assert the audit trail is unchanged by them, so preview digests, scenario parameters and rebases leave no audit row (the preview digest survives only as the identity a sign-off binds). Export: model.export.queued/succeeded/failed/downloaded are pinned only as synthetic wire shapes; no retained test asserts their emission. Missing: a decision whether transient previews/scenarios/rebases must be audited, and a positive test over the export audit rows."
AUD-009,OPEN,junit:caos.tests.spec.test_deliverables_spec::test_stale_expected_version_is_atomic_cas_conflict_carrying_current_head; junit:caos.tests.spec.test_publication_spec::test_opinion_signoff_is_an_append_only_expected_head_cas_bound_to_the_exact_revision; junit:caos.tests.spec.test_publication_spec::test_freeze_is_a_worker_job_and_the_frozen_record_exists_only_after_verified_publication; junit:caos.tests.spec.test_publication_spec::test_a_rendering_failure_leaves_a_typed_failed_job_and_no_frozen_record; junit:caos.tests.spec.test_deliverables_spec::test_approval_leaves_frozen_content_bit_identical_and_appends_one_audit_event; junit:caos.tests.spec.test_publication_spec::test_concurrent_filers_yield_one_receipt_and_one_typed_loser; junit:caos.tests.spec.test_publication_spec::test_filed_download_is_audited_and_tampering_is_detected_on_download; junit:caos.tests.spec.test_ordinary_distressed_e2e::test_user_uploads_flow_through_ordinary_full_and_screen_distressed_models[methodology_identity],application team (change-request audit assertion),"Partial. Proven: deliverable.draft.saved per appended revision (report generation and analyst edits, none for a CAS loser), deliverable.opinion.signed per opinion, deliverable.freeze_queued then deliverable.frozen only after the worker's verified render (the frozen event carries the preview digest), deliverable.freeze_failed with the typed render code and no message, deliverable.filed exactly once on approval/filing with one receipt, and deliverable.exported on download with no residue on a refused download. Not proven: the change request. The only retained assertion on deliverable.changes_requested is its absence after a revision conflict (test_deliverables_spec::test_change_request_revision_conflict_rolls_back_frozen_and_thread_transition); no retained test asserts a successful request appends it. Missing: a positive assertion over deliverable.changes_requested."
AUD-010,OPEN,junit:caos.tests.spec.test_audit_chain_spec::test_audit_rows_refuse_update_and_delete_at_the_database_boundary; junit:caos.tests.spec.test_publication_spec::test_filed_download_is_audited_and_tampering_is_detected_on_download; junit:caos.tests.spec.test_research_spec::test_plan_approval_is_an_expected_hash_compare_and_swap; junit:caos.tests.spec.test_ordinary_distressed_e2e::test_user_uploads_flow_through_ordinary_full_and_screen_distressed_models[methodology_identity]; junit:caos.tests.spec.test_http_contracts_spec::test_audit_log_from_a_real_flow_validates_strictly,application team (event attribution model),"Partial. Proven: every audit row carries a non-null actor, the strict wire model requires it, and retained tests assert analyst, approver and case-admin attribution on specific rows. Not met: run_events has no actor column at all, so machine transitions and startup recovery are unattributed in the durable log (recovery.* exists only as log lines); the worker's freeze render is attributed to the requesting analyst (the e2e asserts the deliverable.frozen actor is ""analyst"", not a worker); and no event carries an attribution category (machine/analyst/approver/administrator/worker/system recovery) since actor is a free-form subject string. Missing: an attribution field (category plus subject) on run events and on worker- and recovery-originated audit rows, with tests."
