check_id,result,evidence,owner,notes
ANA-001,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C03/FULL_CREDIT-full;junit:caos.tests.spec.test_modules_spec::test_host_owns_identity_and_discards_provider_frontmatter;junit:caos.tests.spec.test_modules_spec::test_canonical_output_schema_is_strict_and_bounded;junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[normal];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[dense];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[long_text];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[multilingual];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[held];junit:caos.tests.spec.test_publication_goldens_spec::test_every_format_carries_the_same_facts_and_matches_its_golden[filed];junit:caos.tests.spec.test_deliverables_spec::test_full_credit_draft_composes_one_governed_decision_document;junit:caos.tests.spec.test_publication_spec::test_frozen_payload_carries_the_signed_opinion_and_the_signer,enterprise test owner (live credential) / model risk,"Mechanically proven: module output is confined to the six canonical sections (Analysis, Evidence Trace, Source Registry, Gaps & Conflicts, QA Validation) and the host-control scorer confines disagreements to Gaps & Conflicts (C03 conflicts dimension pass); every deliverable section carries an origin (ANALYST vs MODEL/ARTIFACT/SYSTEM) and the analyst opinion is a separate signed record, asserted in md/pdf/xlsx by the goldens. NOT proven anywhere: the sentence-level [Documentary Fact]/[Management Language]/[Analyst Interpretation]/credit-implication labels are a methodology instruction (vendor CP-1A SKILL.md) with no host assertion and no scorer dimension; the host-control double emits none, so the matrix does not exercise them. The human half is REV-005 Q2 (OUTSTANDING)."
ANA-002,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C03/FULL_CREDIT-full;artifact:gates/qualification/evidence/host_control/C06/FULL_CREDIT-full;junit:caos.tests.spec.test_modules_spec::test_canonical_output_schema_is_strict_and_bounded;junit:caos.tests.spec.test_modules_spec::test_model_facing_tables_may_cite_only_returned_sources;junit:caos.tests.spec.test_injection_spec::test_citation_to_an_undelivered_block_is_refused;junit:caos.tests.spec.test_injection_spec::test_document_cannot_buy_an_answer_with_no_supplied_evidence;junit:caos.tests.test_runtime_calculations::test_runtime_rejects_fixed_prose_without_model_facing_source_attribution;junit:caos.tests.test_runtime_calculations::test_runtime_rejects_model_facing_tables_with_undelivered_source_ids;junit:caos.tests.spec.test_deliverables_spec::test_citations_resolve_same_case_existing_non_withdrawn_blocks,enterprise test owner (live credential) / model risk,"Host-control 'facts' dimension requires every answer-key fact to be linked to a citation whose delivered block contains the fact text (linked vs stated_uncited; required_failed empty) and the 'citations' dimension requires every ref to name a delivered (source_id, block_id); all 32 scored cells pass. In-suite: evidence_refs min 1 and strict envelope; model-facing tables may cite only returned sources; a citation to an undelivered block is AGENT_OUTPUT_INVALID; deliverable citations resolve to same-case non-withdrawn blocks. 'Every documentary fact' beyond the answer-key facts is only sampled, and locators are (source_id, block_id) rather than page/line for the analyst-visible register; live-model behaviour is external."
ANA-003,BLOCKED EXTERNAL,artifact:gates/qualification/host-control-verdict.txt,credit analysts / design owner (REV-001),"No retained test or scorer dimension checks that management language is labelled or kept from becoming an unqualified fact; it is a methodology instruction only (vendor CP-1A SKILL.md 'Label [Management Language]'; CP-1B 'No unqualified management claims as fact'). The host-control double emits no such labels, so even a live matrix run would not check it mechanically. Needs REV-001 blind review; the design owner should add a scorer dimension so live qualification can check it."
ANA-004,BLOCKED EXTERNAL,artifact:gates/qualification/host-control-verdict.txt,credit analysts / design owner (REV-001),The evidence -> risk mechanic -> creditor implication structure of material conclusions is prose quality; the canonical envelope enforces section headings only and no scorer dimension reads conclusion structure. Needs the REV-001 blind review (rubric) against the pinned benchmark.
ANA-005,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C03/FULL_CREDIT-full;artifact:gates/qualification/evidence/host_control/C11/COVENANT_REFINANCING-full;junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_restated_annual_report_supersedes_the_original_and_moves_the_forecast;junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_conflicting_document_refuses_the_whole_pack_and_admits_nothing;junit:caos.tests.spec.test_source_complete_modelling_spec::test_market_marks_dated_before_the_latest_reported_period_are_a_named_limitation;junit:caos.tests.test_qualification_harness::test_unsupported_claim_and_forbidden_conclusion_fail_a_cell,enterprise test owner (live credential) / model risk,"Source disagreement: C03 (annual report 3,400 vs debt schedule 3,650) passes only if both figures appear in Gaps & Conflicts (conflicts dimension handled=[K1]) and the forbidden 'reconciled without difference'/'no discrepancy' phrases are absent; C05 (missing GBP rate) and C16 (subsequent event flagged, FY2024 maturity not restated) pass the same way. Period: restatement supersedes the original with an explicit SUPERSEDED lineage binding; stale market marks are a named limitation. Same-period conflicting documents are refused at intake with INTAKE_SOURCE_CONFLICT (a typed refusal, i.e. never silently merged). Not covered by any pack or test: definition disagreements and module-vs-module disagreements."
ANA-006,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C03/FULL_CREDIT-full;junit:caos.tests.test_qualification_harness::test_unsupported_claim_and_forbidden_conclusion_fail_a_cell;junit:caos.tests.spec.test_source_complete_modelling_spec::test_derived_periods_follow_the_governed_formulas_and_never_overwrite_a_reported_one;junit:caos.tests.spec.test_source_complete_modelling_spec::test_removing_the_forecast_source_is_a_typed_model_refusal_never_a_default;junit:caos.tests.spec.test_source_complete_modelling_spec::test_a_restated_annual_report_supersedes_the_original_and_moves_the_forecast;junit:caos.tests.spec.test_model_builder_spec::test_allowed_unavailable_liquidity_degrades_to_named_nulls_not_zeros,enterprise test owner (live credential) / model risk,"Host control: C03 fails if the two debt figures are presented as reconciled ('reconciled without difference', 'no discrepancy'); C05 fails if a converted sterling figure is asserted without a disclosed rate. In-suite: derived periods never overwrite reported values; a missing forecast driver is a typed refusal, never a default; unavailable liquidity degrades to named nulls, not zeros; restatement is an explicit supersession with lineage. Silent normalisation inside live-model prose (e.g. an undisclosed EBITDA add-back) is only caught where a forbidden phrase or untraceable number is scored."
ANA-007,OPEN,junit:caos.tests.spec.test_deliverables_spec::test_freeze_embeds_selected_revision_outputs_assumptions_and_build_payload_verbatim;junit:caos.tests.spec.test_model_builder_spec::test_rebase_reports_source_context_drift_and_unmapped_assumptions;junit:caos.tests.spec.test_model_builder_spec::test_sign_off_cas_is_append_only_with_separate_head_and_monotonic_order;junit:caos.tests.spec.test_publication_spec::test_analyst_judgment_cannot_carry_an_uncited_quantitative_fact[Leverage was 4.2x at FY2025.],enterprise test owner / design owner,"Pieces exist but no retained test asserts the whole condition. Proven: analyst assumption overrides live in an append-only ANALYST_REVISION distinct from the application build; the registry default carries source_context provenance and the signed effective assumptions are embedded verbatim in the frozen payload; narrative text is ANALYST_JUDGMENT-labelled and an uncited figure in it is refused. Missing: no test renders a normalised figure alongside its source value under an 'analyst judgment' label in the model export or the publication, and module-level normalisations (adjusted EBITDA, pro forma) are methodology prose with no scorer dimension."
ANA-008,BLOCKED EXTERNAL,artifact:gates/qualification/host-control-verdict.txt;artifact:gates/qualification/evidence/host_control/C11/COVENANT_REFINANCING-full,credit analysts / design owner (REV-001),"No retained test or scorer dimension separates legal capacity from observed willingness and current financial feasibility; CP-4 legal interpretation is methodology prose. The C11 and C19 covenant cells score citations, facts, forbidden headroom claims and the typed calculation limitation only. Needs the REV-001 blind review; a scorer dimension is the internal follow-up."
ANA-009,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C11/COVENANT_REFINANCING-full;junit:caos.tests.test_runtime_calculations::test_incomplete_non_core_calculation_completes_the_module_as_a_declared_limitation;junit:caos.tests.test_runtime_calculations::test_provider_cannot_forge_a_host_limitation_flag;junit:caos.tests.spec.test_model_builder_spec::test_assumption_registry_is_versioned_complete_and_explicit_about_gaps,enterprise test owner (live credential) / model risk,"C11 (thresholds documented, no financials or definitions) passes only if Gaps & Conflicts names METHODOLOGY_CALCULATION_INCOMPLETE and no 'headroom of'/'turns of headroom' figure appears in the claim sections. In-suite: an incomplete calculator becomes a typed host-derived limitation (never a computed value), a provider cannot forge a host limitation flag, and the covenant assumption degrades to gap code COVENANT_DEFINITION_UNAVAILABLE. Live-model behaviour on real legal packs (C19 keys, C21) is external."
ANA-010,PROVED HOST CONTROL,artifact:gates/qualification/host-control-matrix.txt;artifact:gates/qualification/evidence/host_control/C06/FULL_CREDIT-full,enterprise test owner (live credential) / model risk,"C06 (industrial debt and non-recourse financing-subsidiary debt reported separately) passes only if both perimeter facts are stated and cited (F1, F2 linked) and no 'single perimeter'/'treated as one perimeter' conclusion appears. No in-suite test covers this. The cell does not score a model effect, so per-perimeter cash, cash flow, liquidity and leverage computations are not verified; only the artifacts' statement of two perimeters is."
