sim_id,condition,seam,tests,injected_fault,expected_outcome,actual_outcome,post_restart_state,status,recorded
SIM-001,Kill the process before provider call,engine parked after the plan gate; Engine.aclose as the kill,caos/tests/spec/test_simulations_spec.py::test_sim_001_kill_before_any_provider_call_leaves_no_reservation_and_recovers_once,process closed while the run is parked after the plan gate and before the first module,No reservation or provider interaction,"status running, budget turns 0, inflight None, zero create_message calls, no artifact, gate checkpoint present","recover()+wait(): succeeded once, every module executed once, turns == provider calls, no inflight, checkpoints deleted, audit chain intact",PASS,2026-09-03
SIM-002,Kill after reservation but before provider call,Engine.crash_mid_provider_call_for_tests (fires after reserve_provider and before create_message),caos/tests/spec/test_budget_spec.py::test_unresolved_inflight_reservation_fails_closed_on_resume_without_respend,SimulatedCrash in the loop's before_create hook with the in-flight digest persisted,Resume resolves the reservation without duplicate spend,in-flight digest persisted and never reconciled,"recover()+wait(): failed AGENT_BUDGET_EXCEEDED, zero further provider calls (unknown spend never retried)",PASS,2026-09-03
SIM-003,Kill during provider call,FaultingHostControl raising SimulatedCrash from inside create_message,caos/tests/spec/test_simulations_spec.py::test_sim_003_kill_during_the_provider_call_never_spends_again_on_resume,SimulatedCrash raised inside the provider call on the first module,Resume never spends again when the prior request is unresolved,"one in-flight digest with unknown spend; a sibling module in the same superstep may already have failed the run closed","recover()+wait(): failed AGENT_BUDGET_EXCEEDED, one run.failed event, provider call count unchanged, in-flight digest retained as the record of the unknown, no node left running, checkpoints deleted",PASS,2026-09-03
SIM-004,Kill after provider response but before artifact commit,RunStore.complete_node monkeypatched to raise SimulatedCrash once,caos/tests/spec/test_simulations_spec.py::test_sim_004_kill_after_the_response_before_the_artifact_commit_yields_one_artifact,SimulatedCrash after reconcile_provider and before the artifact transaction,One valid artifact after recovery,"no artifact for the lost module, reservation reconciled (spend known)","recover()+wait(): succeeded once, one artifact per module, the lost module re-executed once, turns == provider calls",PASS,2026-09-03
SIM-005,Kill after artifact commit but before checkpoint write,Engine.crash_in_commit_gap_for_tests,caos/tests/spec/test_runs_spec.py::test_crash_between_store_commit_and_checkpoint_write_yields_one_artifact_one_charge,SimulatedCrash between the artifact commit and the checkpoint write for CP-0,"Reuse-first recovery yields one artifact, one charge, and one terminal event",artifact committed with no checkpoint,"recover()+wait(): exactly one CP-0 artifact, run.succeeded exactly once",PASS,2026-09-03
SIM-006,Kill during final validation,Engine._verify_run_artifacts monkeypatched to raise SimulatedCrash once,caos/tests/spec/test_simulations_spec.py::test_sim_006_kill_during_final_validation_never_commits_success_twice_or_past_the_ceiling;caos/tests/spec/test_budget_spec.py::test_reconcile_commits_the_actual_usage_before_it_refuses_the_overage,SimulatedCrash inside the metered final re-validation,No successful run commits past validation or budget ceilings,"status running, no terminal event, checkpoint present, validation time charged","recover()+wait(): succeeded once, one run.succeeded, no extra provider spend, checkpoints deleted",PASS,2026-09-03
SIM-007,Kill during snapshot acceptance,accept_snapshot audit callback raising inside the transaction; two-connection acceptance race,caos/tests/spec/test_runs_spec.py::test_acceptance_rolls_back_snapshot_both_pointers_and_audit_as_one_unit;caos/tests/test_postgres_races.py::test_snapshot_acceptance_race_moves_the_case_and_run_pointers_once,exception inside the acceptance transaction; concurrent acceptance on two PostgreSQL connections,Run and case accepted pointers remain atomic,"rollback leaves both pointers null and no audit row; the race moves both pointers once with SNAPSHOT_AUTHORITY_CHANGED for the loser",retry accepts once (idempotent acceptance),PASS,2026-09-03
SIM-008,Kill during model build or workbook render,worker claim left BUILDING; identity-bound worker fallbacks,caos/tests/spec/test_simulations_spec.py::test_sim_008_a_worker_killed_mid_build_leaves_one_retryable_job_that_a_restart_completes;caos/tests/test_worker.py::test_a_crashing_pass_never_fails_a_row_that_was_repointed_under_it;caos/tests/test_worker.py::test_a_crashing_export_pass_never_clobbers_an_export_published_under_it,worker killed after claiming a build (row BUILDING with no executor); crashing pass after a re-point; crashing export pass,"One retryable failed or queued job, never a false ready file","before Task 12a the claimed row stayed BUILDING forever; now the next worker start requeues it (recover_builds) and a live pass never steals a claimed row","worker restart: build READY exactly once with payload digest, recover_builds() then 0",PASS (defect fixed: worker startup requeues BUILDING rows),2026-09-03
SIM-009,"Kill during report render, freeze, or filing",freeze job claim without publication; files published before record commit; filing transaction rollback,caos/tests/spec/test_publication_spec.py::test_a_worker_crash_mid_render_is_recovered_by_requeue_on_the_next_start;caos/tests/spec/test_deliverables_spec.py::test_freeze_retry_recovers_after_files_publish_but_before_record_commit;caos/tests/spec/test_deliverables_spec.py::test_change_request_revision_conflict_rolls_back_frozen_and_thread_transition,worker dies after claiming a render; exports published but the record commit is lost; conflict inside the filing transaction,No partial frozen or filed record,"job RENDERING with no record; exports on disk with no record; frozen and thread transitions rolled back","recover_freeze_jobs() requeues, the next pass publishes once; retry converges on one record",PASS,2026-09-03
SIM-010,Database unavailable before a write,store.ingest raising OperationalError under the HTTP upload route,caos/tests/spec/test_simulations_spec.py::test_sim_010_database_unavailable_before_a_write_is_typed_and_leaves_no_partial_file,sqlalchemy OperationalError (connection refused) raised before the source transaction,Typed failure and no partial filesystem mutation,"before Task 12a a bare 500; now 503 {code: STORE_UNAVAILABLE} with no driver text on the wire, no temporary vault object, no source row, no set, no audit row","same bytes ingest once the store is back (201, set version 1)",PASS (defect fixed: typed 503 handler),2026-09-03
SIM-011,Database disconnect after write acknowledgement,pg_terminate_backend on the writer's backends after a committed write,caos/tests/test_postgres_races.py::test_disconnect_after_an_acknowledged_write_is_resolved_by_idempotent_retry,every backend of the writing store terminated after the freeze request and after the acceptance committed,Idempotent retry resolves the committed state,"the dropped connection surfaces once as a driver error, the pool recovers, the retry returns the same freeze job; the acceptance retry is the typed RUN_NOT_READY with the committed snapshot in place",n/a (store-level),PASS,2026-09-03
SIM-012,Serialization failure or deadlock,two independent PostgreSQL connections parked mid-transaction at the same statement,caos/tests/test_postgres_races.py::test_model_sign_off_race_has_one_revision_and_one_typed_conflict;caos/tests/test_postgres_races.py::test_draft_save_race_conflict_carries_the_committed_head;caos/tests/test_postgres_races.py::test_opinion_sign_off_race_leaves_one_head;caos/tests/test_postgres_races.py::test_event_sequence_allocation_serializes_two_writers_on_one_run;caos/tests/test_postgres_races.py::test_budget_reserve_race_has_one_reservation_and_one_typed_refusal,both writers pass their pre-read before either commits,"One winner or explicit retry, never divergent active state","before Task 12a: raw IntegrityError (revision number, freeze thread, frozen id, event seq), lost budget update, two opinion heads, stale draft conflict; now one winner and one typed loser everywhere, audit chain intact",n/a (store-level),PASS (defect fixed: case advisory lock; run-row and budget-row locks),2026-09-03
SIM-013,Two concurrent identical uploads,two connections parked before INSERT INTO sources after both duplicate pre-checks passed,caos/tests/test_postgres_races.py::test_duplicate_upload_race_admits_one_active_source_and_one_set_version;caos/tests/test_postgres_races.py::test_concurrent_identical_intake_packs_admit_one_pack;caos/tests/test_postgres_races.py::test_concurrent_distinct_uploads_allocate_monotonic_source_set_versions,identical bytes from two connections (source route and intake pack),One active source identity and one source-set transition,"one active source, set version 1, one source.ingested audit row; the loser is the typed 'source content already active'; distinct uploads get versions 1 and 2 with the later set carrying both",n/a (store-level),PASS,2026-09-03
SIM-014,Upload and withdrawal interleave,ingest parked at the set insert against a withdrawal parked at the source update; both release orders,caos/tests/test_postgres_races.py::test_upload_and_withdrawal_interleave_yield_monotonic_history_under_both_orders;caos/tests/test_postgres_races.py::test_duplicate_withdrawal_race_withdraws_once,upload and withdrawal of a different source interleaved on two connections; duplicate withdrawal,A valid monotonic source-set history under both commit orders,"versions 1,2,3 with no gap or fork, final set holds exactly the live source; before Task 12a a duplicate withdrawal minted a second version and audit row, now it withdraws once",n/a (store-level),PASS (defect fixed: conditional withdrawal update),2026-09-03
SIM-015,Two workers claim one model job,two connections parked at the claim UPDATE,caos/tests/test_postgres_races.py::test_model_build_claim_race_has_one_executor;caos/tests/test_postgres_races.py::test_freeze_claim_race_has_one_renderer;caos/tests/test_worker.py::test_a_lost_claim_never_computes_and_never_touches_the_winner,both executors read QUEUED and race the compare-and-swap,One executor wins and one exits without mutation,"one True and one False, the row BUILDING/RENDERING once; the loser computes nothing",n/a (store-level),PASS,2026-09-03
SIM-016,Two analysts sign the same model base,two connections parked before INSERT INTO model_revisions (fresh case and existing head),caos/tests/test_postgres_races.py::test_model_sign_off_race_has_one_revision_and_one_typed_conflict;caos/tests/spec/test_model_builder_spec.py::test_two_concurrent_sign_offs_have_one_atomic_winner,both sign-offs read the same head,One revision wins and one receives a conflict,"before Task 12a the loser got a raw IntegrityError on the revision number; now ModelRevisionConflict naming the winner, one head, contiguous revision order, one audit row per revision",n/a (store-level),PASS (defect fixed: case advisory lock),2026-09-03
SIM-017,Two approvers file the same digest,two connections parked at the filing UPDATE,caos/tests/test_postgres_races.py::test_filing_race_files_once_with_one_receipt;caos/tests/spec/test_publication_spec.py::test_concurrent_filers_yield_one_receipt_and_one_typed_loser,two approvers race the FROZEN->FILED compare-and-swap,One filed object and one filing event,"one FILED record, one receipt naming the winner, one deliverable.filed audit row; the loser is None (RESUME_NOT_APPLIED at the service)",n/a (store-level),PASS,2026-09-03
SIM-018,Source withdraws during evidence read,withdrawal between pin and read_evidence; withdrawal racing the injected read inside the tool,caos/tests/spec/test_evidence_spec.py::test_read_of_source_withdrawn_after_pin_fails_closed;caos/tests/spec/test_injection_spec.py::test_withdrawal_racing_the_injected_read_is_caught_live_inside_the_tool;caos/tests/spec/test_runs_spec.py::test_withdrawing_pinned_source_mid_run_fails_the_run_closed,pinned source withdrawn while the run reads it,The read or subsequent validation fails closed,typed refusal with no text returned; the run fails closed,recovery of a failed run appends nothing,PASS,2026-09-03
SIM-019,Source withdraws after run success but before acceptance,withdrawal after run.succeeded and before accept,caos/tests/spec/test_runs_spec.py::test_acceptance_refuses_a_source_withdrawn_after_run_completion;caos/tests/spec/test_runs_spec.py::test_withdrawal_in_the_last_pre_finalization_gap_fails_the_run,pinned source withdrawn between completion and acceptance,Acceptance refuses or revalidates according to the pinned-source rule,acceptance refused; the last pre-finalization withdrawal fails the run,n/a,PASS,2026-09-03
SIM-020,Membership changes during freeze or filing,case membership deleted between the route's authorization and the governed commit,caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_commit_is_rejected_at_commit_time;caos/tests/spec/test_simulations_spec.py::test_sim_020_membership_revoked_between_authorization_and_freeze_commit_is_rejected;caos/tests/spec/test_deliverables_spec.py::test_downgraded_global_reader_loses_filing_authority_despite_case_standing,approver (filing) or analyst (freeze) standing revoked after the route check and before the transaction commits,Commit-time authorization rejects stale authority,"before Task 12a the filing committed (200 FILED); now CASE_STANDING_REVOKED (403) inside the transaction, nothing filed, no receipt, no audit row, no freeze job",n/a,PASS (defect fixed: commit-time standing recheck under FOR SHARE),2026-09-03
