Defect ID,Feature ID,Title,Reproduction Steps,Expected Result,Actual Result,Severity,Root Cause,Status,Fix,Regression Test,Found,Closed
D-001,F-RV-01,RV quick-save accepts non-finite numbers,"POST /api/cases/{id}/rv with raw application/json body {""rows"":[{""issuer"":""A"",""instrument"":""B"",""currency"":""USD"",""price"":Infinity}]} - JSON carries the Infinity/NaN literals and Python's json.loads accepts them.","422 - invariant 7 refuses non-finite values before use, exactly as contracts.RVRow.finite_number does for the other RV row model.","201. The value is stored as float('inf') and serialized back to the analyst as null, so the number silently disappears. store.py builds its engine with json_serializer=json.dumps (allow_nan defaults True), so the rv_universes JSON column receives a literal Infinity - invalid JSON that a Postgres json/jsonb column refuses outright, which is what production runs.",High,"api/__init__.py::RVQuickRow is a second, hand-rolled twin of contracts.RVRow written without the finite_or_none validators the original carries. Pydantic v2 admits inf/nan into a float field by default and renders them as null on JSON serialization, so nothing downstream complained.",FIXED,"Added a finite_number validator over price/yield_bps/spread_bps/duration on RVQuickRow, reusing contracts.finite_or_none.",caos/tests/spec/test_misc_spec.py::test_rv_quick_rows_refuse_non_finite_numbers,2026-08-30,2026-08-30
D-002,"F-CASE-01, F-NOTE-01, F-RV-01",Control characters accepted in pinned text,"POST /api/cases with raw body {""name"":""a\u0007b"",""issuer"":""I"",""sector"":""S""}; likewise POST .../notes with {""body"":""a\u0007b""} and an RV row issuer.","422 - CLAUDE.md's standing boundary rule: every string that can enter pinned state or events must UTF-8-encode, reject lone surrogates and be NFC-normalized at the API boundary.","201, and the control byte is persisted in the case row, the note body and the RV universe, and rides into the audit event.",Medium,"contracts.validate_boundary_text existed but was wired to exactly one field - StartRunRequest.focus_questions. Case identity, note bodies and RV row text all reach pinned state and audit events with no boundary check at all.",FIXED,"Lifted validate_boundary_text above the models and added BoundaryText = Annotated[str, AfterValidator(validate_boundary_text)]; applied it to CreateCaseRequest.name/issuer/sector, NoteRequest.body and RVQuickRow.issuer/instrument.",caos/tests/spec/test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract,2026-08-30,2026-08-30
D-003,F-CASE-01,Issuer identity not NFC-normalized,POST /api/cases twice with the same issuer spelled NFD (Cafe + combining acute) and NFC (precomposed e-acute).,"Both normalize to one issuer string, so one issuer cannot mint two lineages - the boundary rule requires NFC before any pin is computed.","Two cases whose issuer strings compare unequal despite rendering identically; every downstream digest, snapshot and deliverable identity forks.",Medium,"Same root cause as D-002: NFC folding lives inside validate_boundary_text, which was never applied to case identity.",FIXED,Covered by the same BoundaryText change; the regression test asserts the two spellings round-trip to one value.,caos/tests/spec/test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract,2026-08-30,2026-08-30
D-004,F-SRC-14,Pathway fit is computed but never served,"Create a case, upload a source, GET /api/cases/{id} and read pathway_fit. Then open /cases/ in the workbench.",The Cases screen's Pathway fit panel shows READY or a warning with a message - what sources.domain.pathway_fit computes and what the frontend CaseRecord type and panel already render.,"pathway_fit is absent from every case response, so the panel permanently reads 'Fit unavailable. Pathway fit is not served by this deployment.' The backend helper is live and unit-tested (test_source_ingestion.py:88 asserts fit == READY) but no route calls it.",Low,"_wire_case adds source_count and the deep-research flags but never calls sources.domain.pathway_fit, and CaseResponse does not declare the field. The frontend comment shows the absence was known; whether to close it is a product decision.",FIXED,"Wired it, following the repo's own documented procedure for a wire change (CLAUDE.md): a new CasePathwayFitResponse serving only the two fields the frontend declares (fit, message), pathway_fit added to CaseResponse, _wire_case calling sources.domain.pathway_fit, and the pinned key set in test_http_contracts_spec.py updated. The now-stale frontend comment claiming the wire serves no such field was corrected. This is wire-visible and easy to revert if it was a deliberate omission.",caos/tests/spec/test_misc_spec.py::test_case_response_carries_the_pathway_fit_signal,2026-08-30,2026-08-30
D-005,"F-CASE-01, F-NOTE-01, F-RUN-01",NFC normalization ran after the length bound,"POST /api/cases with a name of 160 x U+0958 (DEVANAGARI KA WITH NUKTA, a Unicode composition exclusion that folds to two code points under NFC).",422 string_too_long - min_length/max_length must bound the value that actually gets stored.,"201, with a 320-character name persisted in a field declared max_length=160. The same 2x amplification applied to issuer (160), sector (120), note body (12000) and focus questions (400).",Medium,"Self-inflicted by the D-002/D-003 fix: BoundaryText was built on AfterValidator, which pydantic runs after the str constraints, so the bound was checked on the pre-normalized value and the transform then grew it. The pre-existing StartRunRequest.boundary_clean_questions field_validator had the identical ordering bug.",FIXED,"Rebuilt BoundaryText on BeforeValidator with a non-str passthrough (so `name: 123` still fails as string_type rather than crashing in the validator), and replaced the focus-questions field_validator with the same annotated item type so its ordering is fixed too.",caos/tests/spec/test_state_spec.py::test_case_and_note_text_is_boundary_validated_at_the_api_contract (asserts 160 expanding chars are refused and 80 store as exactly 160),2026-08-30,2026-08-30
D-006,"F-CFG-01, F-OPS-07",Dead agent kill switches in operator-facing config,"Read caos/.env.example lines 37-40 and the app/worker environment blocks of caos/deploy/docker-compose.yml, then grep the codebase for those names.",Every environment variable an operator is shown is one the application actually reads. AGENT_EXECUTION_ENABLED is the documented fail-closed switch.,"CPDR_AGENT_ENABLED, CANONICAL_AGENT_ENABLED, CPDR_PILOT_CASE_IDS and CPDR_PILOT_SUBJECTS are set on both services and documented in .env.example, but Settings.from_env reads none of them and no other code references them. CANONICAL_AGENT_ENABLED=false sits directly beside AGENT_EXECUTION_ENABLED=false, so an operator can believe they have disabled canonical agent execution while it is fully enabled - a fail-open misreading of the one flag the design calls fail-closed.",Medium,"Legacy carryover from the pre-LangGraph deployment. Nothing removed them when Settings.from_env was rewritten to a single agent flag, and no test asserts that every compose variable is read.",FIXED,Deleted the four dead entries from docker-compose.yml (app and worker) and from .env.example. Pure deletion - nothing reads them.,"Re-ran the full nightly deployment step locally: compose --no-interpolate, compose with a filled env, verify_image_resources.py and check_module_consistency.py all pass.",2026-08-30,2026-08-30
D-007,F-OPS-07,Nightly deployment job has been failing every night,gh run list --workflow=nightly.yml -> the last three runs all FAIL; the failing job is 'Nightly - deployment and methodology checks'. Reproduced locally: docker compose --env-file caos/.env.example -f caos/deploy/docker-compose.yml config -q.,The nightly deployment job runs its four checks and passes.,"The step's second command fails with 'required variable SESSION_SECRET is missing a value'. Under `shell: /usr/bin/bash -e` the step aborts there, so python caos/deploy/verify_image_resources.py and check_module_consistency.py NEVER RUN. Confirmed in the run 33307788675 log. Both checks pass when run by hand, so the failure has been masking two working gates rather than a real defect.",High,".env.example deliberately ships every required secret EMPTY so Compose's ${VAR:?} fails closed - ci.yml carries a six-line comment explaining that the file therefore cannot be fed to `config` as-is, and fills the blanks with sed first. nightly.yml was never given that treatment and runs the exact command ci.yml documents as impossible.",FIXED,"Mirrored ci.yml's fill-then-validate in nightly.yml, keeping the check's real purpose (a variable MISSING from the example still fails, an intentionally empty value does not).",Whole step reproduced locally end to end: all four commands pass. Also verified the ci.yml required-secrets-ship-empty check still passes after the .env.example edit.,2026-08-30,2026-08-30
D-008,"F-AUTH-02, F-AUTH-03, F-OPS-08",No guard tied the edge header scrub to the headers the app trusts,grep the test suite for Caddyfile or oauth2-proxy: nothing references either. Then delete the `request_header -X-Forwarded-Groups` line from caos/deploy/Caddyfile and run the suite - before this session it stayed green.,A test fails when an identity header the app trusts is not stripped from the client request at the edge.,"Nothing checked. The auth edge is two files that must agree - Caddy strips X-Forwarded-User/Email/Groups and X-Edge-Authorization so identity_from_request can trust them - and adding a trusted header to identity.py without adding a scrub line would let a client inject it straight through. That is an auth bypass produced by editing one file, with no test standing in the way.",Medium,"Latent, not live: today the two lists agree for every header that matters, and x-caos-role is deliberately outside the scrub set because production never reads it. The defect is the missing guard, not a current bypass.",FIXED,"Added a test that derives BOTH sets from source (regex over the Caddyfile and over identity.py) and asserts the production-trusted set is a subset of the scrubbed set, so drift is what fails rather than a stale restatement. Added a behavioural twin asserting x-caos-role cannot escalate in production even if it does reach the app.",caos/tests/spec/test_misc_spec.py::test_edge_scrubs_every_identity_header_the_app_trusts and ::test_client_role_header_cannot_escalate_in_production,2026-08-30,2026-08-30
D-009,F-OPS-02,test:production-inventory targets routes this build does not serve,CAOS_URL=... CAOS_EDGE_SECRET=... npm run test:production-inventory against a production-mode instance.,The advertised npm script runs and reports the deployment inventory.,"It aborts at line 256. The script walks GET /api/cases/{id}/runs (only POST is served here -> 404 confirmed live) and /api/cases/{id}/members (no route at all -> 404 confirmed live), and CAOS_CASE_ID defaults to a fixture id case_d5e3151a64554296 from a seeded environment expecting an issuer named Synthetic Dense Issuer with 100+ sources. It cannot pass against this build in any configuration.",Low,"Written against a different (seeded, fuller) deployment and never reconciled with the route set this server actually serves. It is not wired into CI, so nothing surfaced the drift.",FIXED (documented),"Not deleted - it is a real inventory for a deployment that serves those routes. Added a header comment on the script stating exactly which routes are missing and that it is not a check on this build, and an entry in the CLAUDE.md known-gaps ledger, which is the repo's own mechanism for this.",Confirmed live against a production-mode instance on :8012: both routes answer 404.,2026-08-30,2026-08-30
D-010,F-OPS-09,The CI Python SAST gate can pass while scanning nothing,Run the security job's bandit command under Python 3.14: bandit -r caos/server/caos -x .../vendor --severity-level high --confidence-level medium; echo $?.,A SAST gate either scans the code or fails.,"bandit 1.7.10 raises 'Constant object has no attribute s' on every server file (it reaches for the ast.Constant.s alias a newer interpreter dropped), SKIPS all 35 of them, reports 0 issues and EXITS 0. A passing gate and a gate that scanned nothing are indistinguishable. Verified both ways: on Python 3.12, 9621 lines scanned and 0 files skipped; on 3.14, 0 lines scanned and exit 0.",Medium,"Latent, not live: CI pins python-version 3.12 in the security job, so the gate works today. The defect is that the pin is undocumented and load-bearing - bumping it to match the 3.14 leg of the server matrix would silently disable SAST.",FIXED,"Rewrote the Python SAST step to emit bandit's JSON report and assert on it: no parse errors, and at least 5000 lines covered. Verified by executing the exact step body extracted from ci.yml - exit 0 on 3.12, exit 1 on 3.14 with the parse-error message. Comment records why the interpreter pin matters.",".github/workflows/ci.yml security job, Python SAST step (self-asserting)",2026-08-30,2026-08-30
